TransactionID,Supplier,Description,Amount,Category,Date
T035,Alpha Solutions,TRAVEL expense from Alpha Solutions,36090.92,Stationery,2024-01-16
T036,Delta Goods,Maintenance expense from Delta Goods,38140.3,Maintenance,2024-01-17
T037,Global Services,office_supplies expense from Global Services,45256.69,Office Supplies,2024-01-17
T038,ABC Traders,TRAVEL expense from ABC Traders,41070.37,Travel,2024-01-18
T039,Prime Supplies,IT Services expense from Prime Supplies,6049.58,Maintenance,2024-01-19
T040,Global Services,misc expense from Global Services,4543.39,Miscellaneous,2024-01-19
T041,ABC Traders,misc expense from ABC Traders,20311.26,Miscellaneous,2024-01-19
T042,Bright Office,Insurance expense from Bright Office,49113.86,Stationery,2024-01-19
T043,TechGear Inc.,TRAVEL expense from TechGear Inc.,11096.95,Consulting,2024-01-20
T044,ABC Traders,Consultation expense from ABC Traders,31948.31,Consulting,2024-01-20
T045,Delta Goods,Utilities expense from Unknown Supplier,72329.81,Utilities,2024-01-20
T046,XYZ Pvt Ltd,Marketing expense from XYZ Pvt Ltd,62109.48,Marketing,2024-01-20
T047,Alpha Solutions,Miscellaneous expense from Alpha Solutions,51943.42,Stationery,2024-01-21
T048,Delta Goods,Training expense from Delta Goods,60191.41,Training,2024-01-21
T049,ABC Traders,Training expense from ABC Traders,3565.98,Training,2024-01-21
T050,XYZ Pvt Ltd,misc expense from XYZ Pvt Ltd,75028.9,Miscellaneous,2024-01-22
T051,Prime Supplies,Consulting expense from Prime Supplies,13058.08,Maintenance,2024-01-22
T052,Alpha Solutions,Consultation expense from Alpha Solutions,58774.69,Stationery,2024-01-23
T053,TechGear Inc.,Office Supplies expense from TechGear Inc.,10960.52,Consulting,2024-01-23
T054,UrbanStationers,IT Services expense from UrbanStationers,53381.35,IT Services,2024-01-24
T055,Bright Office,Utilities expense from Bright Office,37230.47,Stationery,2024-01-24
T056,Delta Goods,Utilities expense from Unknown Supplier,45977.63,Utilities,2024-01-24
T057,MegaMart,Training expense from MegaMart,69218.54,Maintenance,2024-01-25
T058,Delta Goods,Office Supplies expense from Unknown Supplier,79872.96,Miscellaneous,2024-01-25
T059,Delta Goods,Insurance expense from Unknown Supplier,4218.46,Insurance,2024-01-25
T060,ABC Traders,Insurance expense from ABC Traders,31830.16,Insurance,2024-01-26
T061,Delta Goods,Marketing expense from Unknown Supplier,14856.95,Marketing,2024-01-26
T062,TechGear Inc.,Utilities expense from TechGear Inc.,4504.51,Consulting,2024-01-26
T063,MegaMart,Miscellaneous expense from MegaMart,76923.98,Maintenance,2024-01-27
T064,Delta Goods,Consultation expense from Unknown Supplier,63144.81,Consulting,2024-01-27
T065,MegaMart,Marketing expense from MegaMart,77333.32,Maintenance,2024-01-27
T066,UrbanStationers,TRAVEL expense from UrbanStationers,29251.09,Travel,2024-01-28
T067,Delta Goods,Utilities expense from Unknown Supplier,23684.54,Utilities,2024-01-29
T068,Delta Goods,IT Services expense from Delta Goods,41055.23,IT Services,2024-01-29
T069,Bright Office,Training expense from Bright Office,53108.59,Stationery,2024-01-29
T070,Prime Supplies,Insurance expense from Prime Supplies,10666.69,Maintenance,2024-01-30
T071,Delta Goods,TRAVEL expense from Unknown Supplier,1808.78,Travel,2024-01-31
T072,Delta Goods,Miscellaneous expense from Unknown Supplier,66014.29,Miscellaneous,2024-01-31
T073,XYZ Pvt Ltd,Office Supplies expense from XYZ Pvt Ltd,66164.99,Miscellaneous,2024-01-31
T074,Delta Goods,Utilities expense from Unknown Supplier,28086.71,Utilities,2024-01-31
T075,XYZ Pvt Ltd,misc expense from XYZ Pvt Ltd,15274.31,Miscellaneous,2024-02-01
T076,TechGear Inc.,Consulting expense from TechGear Inc.,59289.27,Consulting,2024-02-01
T077,Global Services,TRAVEL expense from Global Services,73410.26,Travel,2024-02-02
T078,TechGear Inc.,Miscellaneous expense from TechGear Inc.,60579.55,Consulting,2024-02-02
T079,Delta Goods,misc expense from Delta Goods,23333.37,Miscellaneous,2024-02-02
T080,Alpha Solutions,Marketing expense from Alpha Solutions,28275.74,Stationery,2024-02-03
T081,Global Services,Utilities expense from Global Services,35181.81,Utilities,2024-02-03
T082,MegaMart,Insurance expense from MegaMart,50269.38,Maintenance,2024-02-03
T083,Prime Supplies,Training expense from Prime Supplies,14196.81,Maintenance,2024-02-03
T084,Prime Supplies,Miscellaneous expense from Prime Supplies,19354.44,Maintenance,2024-02-04
T085,UrbanStationers,Utilities expense from UrbanStationers,1612.67,Utilities,2024-02-05
T086,Prime Supplies,Office Supplies expense from Prime Supplies,78235.91,Maintenance,2024-02-06
T087,Alpha Solutions,Utilities expense from Alpha Solutions,14396.31,Stationery,2024-02-06
T088,UrbanStationers,Office Supplies expense from UrbanStationers,69452.47,Miscellaneous,2024-02-06
T089,XYZ Pvt Ltd,Utilities expense from XYZ Pvt Ltd,14830.68,Utilities,2024-02-08
T090,Delta Goods,Maintenance expense from Delta Goods,29041.67,Maintenance,2024-02-08
T091,Alpha Solutions,TRAVEL expense from Alpha Solutions,59828.06,Stationery,2024-02-08
T092,UrbanStationers,Training expense from UrbanStationers,59461.28,Training,2024-02-09
T093,MegaMart,Miscellaneous expense from MegaMart,39469.82,Maintenance,2024-02-09
T094,MegaMart,Travel expense from MegaMart,23620.82,Maintenance,2024-02-10
T095,Global Services,Travel expense from Global Services,13297.12,Travel,2024-02-11
T096,UrbanStationers,Consulting expense from UrbanStationers,13766.54,Consulting,2024-02-11
T097,ABC Traders,Maintenance expense from ABC Traders,66493.0,Maintenance,2024-02-12
T098,Alpha Solutions,misc expense from Alpha Solutions,76647.33,Stationery,2024-02-12
T099,Prime Supplies,Maintenance expense from Prime Supplies,54727.75,Maintenance,2024-02-12
T100,Global Services,IT Services expense from Global Services,67681.66,IT Services,2024-02-13
T101,Delta Goods,Travel expense from Unknown Supplier,59237.32,Travel,2024-02-14
T102,Bright Office,Training expense from Bright Office,17980.19,Stationery,2024-02-14
T103,Bright Office,Insurance expense from Bright Office,13402.7,Stationery,2024-02-14
T104,TechGear Inc.,Maintenance expense from TechGear Inc.,57689.64,Consulting,2024-02-14
T105,Alpha Solutions,Travel expense from Alpha Solutions,25677.32,Stationery,2024-02-15
T106,UrbanStationers,Travel expense from UrbanStationers,181.17,Travel,2024-02-15
T107,Delta Goods,IT Services expense from Unknown Supplier,9733.72,IT Services,2024-02-16
T108,TechGear Inc.,Maintenance expense from TechGear Inc.,54734.92,Consulting,2024-02-16
T109,Prime Supplies,misc expense from Prime Supplies,36246.59,Maintenance,2024-02-16
T110,Delta Goods,Maintenance expense from Delta Goods,25770.77,Maintenance,2024-02-17
T111,Delta Goods,Utilities expense from Unknown Supplier,1664.5,Utilities,2024-02-17
T112,MegaMart,Marketing expense from MegaMart,65379.68,Maintenance,2024-02-17
T113,Alpha Solutions,Maintenance expense from Alpha Solutions,22479.79,Stationery,2024-02-17
T114,Delta Goods,Training expense from Unknown Supplier,71282.47,Training,2024-02-18
T115,Global Services,Training expense from Global Services,55121.71,Training,2024-02-18
T116,ABC Traders,Maintenance expense from ABC Traders,44623.36,Maintenance,2024-02-18
T117,UrbanStationers,TRAVEL expense from UrbanStationers,70326.22,Travel,2024-02-18
T118,MegaMart,Training expense from MegaMart,69571.35,Maintenance,2024-02-19
T119,Delta Goods,Insurance expense from Unknown Supplier,3719.14,Insurance,2024-02-19
T120,Alpha Solutions,Consultation expense from Alpha Solutions,40235.65,Stationery,2024-02-20
T121,Alpha Solutions,IT Services expense from Alpha Solutions,38056.34,Stationery,2024-02-21
T122,Delta Goods,Consultation expense from Unknown Supplier,64733.62,Consulting,2024-02-21
T123,Global Services,TRAVEL expense from Global Services,78415.34,Travel,2024-02-22
T124,Delta Goods,Marketing expense from Unknown Supplier,23346.95,Marketing,2024-02-22
T125,Global Services,Consulting expense from Global Services,38017.21,Consulting,2024-02-22
T126,MegaMart,Marketing expense from MegaMart,19929.79,Maintenance,2024-02-22
T127,Delta Goods,office_supplies expense from Unknown Supplier,74248.09,Office Supplies,2024-02-23
T128,UrbanStationers,Training expense from UrbanStationers,5744.19,Training,2024-02-23
T129,Delta Goods,Office Supplies expense from Unknown Supplier,7284.52,Miscellaneous,2024-02-24
T130,Delta Goods,Consultation expense from Unknown Supplier,71351.66,Consulting,2024-02-24
T131,Alpha Solutions,Training expense from Alpha Solutions,76232.43,Stationery,2024-02-24
T132,Delta Goods,misc expense from Unknown Supplier,7393.86,Miscellaneous,2024-02-25
T133,Prime Supplies,Maintenance expense from Prime Supplies,54438.8,Maintenance,2024-02-26
T134,Bright Office,Consulting expense from Bright Office,70861.88,Stationery,2024-02-26
T135,Prime Supplies,Travel expense from Prime Supplies,21616.18,Maintenance,2024-02-27
T136,Delta Goods,Insurance expense from Delta Goods,62647.08,Insurance,2024-02-27
T137,Delta Goods,Travel expense from Unknown Supplier,41060.33,Travel,2024-02-27
T138,MegaMart,office_supplies expense from MegaMart,43072.52,Maintenance,2024-02-28
T139,Bright Office,Insurance expense from Bright Office,58042.65,Stationery,2024-02-28
T140,MegaMart,Training expense from MegaMart,57843.07,Maintenance,2024-02-28
T141,Delta Goods,Consultation expense from Unknown Supplier,75995.98,Consulting,2024-02-29
T142,ABC Traders,Consulting expense from ABC Traders,69640.92,Consulting,2024-03-01
T143,Alpha Solutions,Consulting expense from Alpha Solutions,11519.13,Stationery,2024-03-01
T144,Alpha Solutions,Training expense from Alpha Solutions,6815.17,Stationery,2024-03-01
T145,MegaMart,office_supplies expense from MegaMart,66925.39,Maintenance,2024-03-02
T146,XYZ Pvt Ltd,Travel expense from XYZ Pvt Ltd,74041.7,Travel,2024-03-02
T147,Alpha Solutions,Marketing expense from Alpha Solutions,24573.94,Stationery,2024-03-02
T148,Prime Supplies,Utilities expense from Prime Supplies,33715.01,Maintenance,2024-03-02
T149,Prime Supplies,Office Supplies expense from Prime Supplies,5070.91,Maintenance,2024-03-03
T150,UrbanStationers,Consulting expense from UrbanStationers,66548.73,Consulting,2024-03-04
T151,Delta Goods,misc expense from Unknown Supplier,4956.46,Miscellaneous,2024-03-05
T152,Bright Office,Office Supplies expense from Bright Office,63253.62,Stationery,2024-03-06
T153,Delta Goods,Training expense from Unknown Supplier,67006.18,Training,2024-03-06
T154,ABC Traders,Training expense from ABC Traders,78477.26,Training,2024-03-06
T155,ABC Traders,Travel expense from ABC Traders,42706.54,Travel,2024-03-06
T156,TechGear Inc.,IT Services expense from TechGear Inc.,59838.81,Consulting,2024-03-07
T157,XYZ Pvt Ltd,Utilities expense from XYZ Pvt Ltd,76926.03,Utilities,2024-03-07
T158,XYZ Pvt Ltd,TRAVEL expense from XYZ Pvt Ltd,49270.06,Travel,2024-03-07
T159,Delta Goods,Maintenance expense from Unknown Supplier,59385.03,Maintenance,2024-03-07
T160,XYZ Pvt Ltd,IT Services expense from XYZ Pvt Ltd,76842.19,IT Services,2024-03-08
T161,Delta Goods,Training expense from Delta Goods,65457.66,Training,2024-03-08
T162,TechGear Inc.,Training expense from TechGear Inc.,17158.3,Consulting,2024-03-09
T163,Delta Goods,Consultation expense from Unknown Supplier,10189.11,Consulting,2024-03-10
T164,Bright Office,Training expense from Bright Office,22491.63,Stationery,2024-03-11
T165,UrbanStationers,office_supplies expense from UrbanStationers,12597.11,Office Supplies,2024-03-12
T166,TechGear Inc.,Training expense from TechGear Inc.,2781.89,Consulting,2024-03-12
T167,Global Services,Office Supplies expense from Global Services,5592.53,Miscellaneous,2024-03-13
T168,Alpha Solutions,TRAVEL expense from Alpha Solutions,73479.66,Stationery,2024-03-13
T169,Delta Goods,Marketing expense from Unknown Supplier,42778.1,Marketing,2024-03-14
T170,UrbanStationers,TRAVEL expense from UrbanStationers,74319.23,Travel,2024-03-15
T171,Prime Supplies,Office Supplies expense from Prime Supplies,3192.73,Maintenance,2024-03-16
T172,Global Services,office_supplies expense from Global Services,44040.03,Office Supplies,2024-03-16
T173,Prime Supplies,Maintenance expense from Prime Supplies,71183.63,Maintenance,2024-03-16
T174,Bright Office,Training expense from Bright Office,19689.29,Stationery,2024-03-17
T175,Delta Goods,Consulting expense from Delta Goods,60692.07,Consulting,2024-03-17
T176,MegaMart,misc expense from MegaMart,36715.78,Maintenance,2024-03-17
T177,Delta Goods,office_supplies expense from Delta Goods,61501.46,Office Supplies,2024-03-18
T178,Delta Goods,Marketing expense from Delta Goods,50933.73,Marketing,2024-03-18
T179,UrbanStationers,Maintenance expense from UrbanStationers,38986.98,Maintenance,2024-03-19
T180,MegaMart,IT Services expense from MegaMart,39648.99,Maintenance,2024-03-19
T181,UrbanStationers,Marketing expense from UrbanStationers,13423.98,Marketing,2024-03-20
T182,ABC Traders,TRAVEL expense from ABC Traders,14490.43,Travel,2024-03-20
T183,Delta Goods,Consultation expense from Delta Goods,17481.5,Consulting,2024-03-20
T184,Delta Goods,Marketing expense from Unknown Supplier,62719.26,Marketing,2024-03-21
T185,Alpha Solutions,Office Supplies expense from Alpha Solutions,18062.81,Stationery,2024-03-21
T186,Bright Office,misc expense from Bright Office,62572.83,Stationery,2024-03-22
T187,Bright Office,Maintenance expense from Bright Office,71847.85,Stationery,2024-03-22
T188,UrbanStationers,misc expense from UrbanStationers,36041.08,Miscellaneous,2024-03-22
T189,Delta Goods,Insurance expense from Unknown Supplier,47354.52,Insurance,2024-03-22
T190,Delta Goods,Insurance expense from Delta Goods,26004.54,Insurance,2024-03-23
T191,TechGear Inc.,Marketing expense from TechGear Inc.,34048.58,Consulting,2024-03-24
T192,XYZ Pvt Ltd,Marketing expense from XYZ Pvt Ltd,14648.34,Marketing,2024-03-25
T193,XYZ Pvt Ltd,Consulting expense from XYZ Pvt Ltd,21060.73,Consulting,2024-03-25
T194,Delta Goods,Insurance expense from Unknown Supplier,60856.31,Insurance,2024-03-25
T195,Delta Goods,Consulting expense from Unknown Supplier,30485.98,Consulting,2024-03-25
T196,Bright Office,misc expense from Bright Office,37026.01,Stationery,2024-03-26
T197,XYZ Pvt Ltd,Training expense from XYZ Pvt Ltd,10890.93,Training,2024-03-26
T198,Delta Goods,office_supplies expense from Delta Goods,38598.34,Office Supplies,2024-03-26
T199,TechGear Inc.,TRAVEL expense from TechGear Inc.,55519.94,Consulting,2024-03-27
T200,UrbanStationers,Miscellaneous expense from UrbanStationers,57201.73,Miscellaneous,2024-03-28
T201,Bright Office,office_supplies expense from Bright Office,14361.71,Stationery,2024-03-29
T202,XYZ Pvt Ltd,Marketing expense from XYZ Pvt Ltd,22786.72,Marketing,2024-03-29
T203,Bright Office,Consulting expense from Bright Office,58814.17,Stationery,2024-03-29
T204,XYZ Pvt Ltd,office_supplies expense from XYZ Pvt Ltd,79270.26,Office Supplies,2024-03-30
T205,Alpha Solutions,Travel expense from Alpha Solutions,23517.68,Stationery,2024-03-30
T206,ABC Traders,Office Supplies expense from ABC Traders,37081.1,Miscellaneous,2024-03-31
T207,Prime Supplies,Maintenance expense from Prime Supplies,22179.38,Maintenance,2024-04-01
T208,XYZ Pvt Ltd,IT Services expense from XYZ Pvt Ltd,54395.55,IT Services,2024-04-02
T209,Bright Office,Maintenance expense from Bright Office,56507.53,Stationery,2024-04-02
T210,Delta Goods,Insurance expense from Unknown Supplier,32070.23,Insurance,2024-04-03
T211,MegaMart,misc expense from MegaMart,15059.88,Maintenance,2024-04-03
T212,Delta Goods,misc expense from Unknown Supplier,73393.95,Miscellaneous,2024-04-03
T213,Delta Goods,Insurance expense from Delta Goods,15666.46,Insurance,2024-04-04
T214,Prime Supplies,Consultation expense from Prime Supplies,68921.17,Maintenance,2024-04-04
T215,Delta Goods,Insurance expense from Unknown Supplier,51377.49,Insurance,2024-04-05
T216,UrbanStationers,office_supplies expense from UrbanStationers,79901.96,Office Supplies,2024-04-05
T217,TechGear Inc.,Utilities expense from TechGear Inc.,15687.76,Consulting,2024-04-06
T218,Global Services,Miscellaneous expense from Global Services,38010.03,Miscellaneous,2024-04-07
T219,Global Services,Utilities expense from Global Services,30245.66,Utilities,2024-04-08
T220,Delta Goods,Maintenance expense from Unknown Supplier,12809.11,Maintenance,2024-04-08
T221,Alpha Solutions,Office Supplies expense from Alpha Solutions,42653.0,Stationery,2024-04-08
T222,Bright Office,Consultation expense from Bright Office,9408.08,Stationery,2024-04-08
T223,Prime Supplies,Utilities expense from Prime Supplies,48549.61,Maintenance,2024-04-09
T224,Delta Goods,Consulting expense from Delta Goods,76231.35,Consulting,2024-04-10
T225,ABC Traders,Training expense from ABC Traders,40177.19,Training,2024-04-10
T226,Delta Goods,Insurance expense from Delta Goods,46082.11,Insurance,2024-04-10
T227,Alpha Solutions,office_supplies expense from Alpha Solutions,72864.53,Stationery,2024-04-10
T228,Delta Goods,Travel expense from Unknown Supplier,45659.54,Travel,2024-04-11
T229,ABC Traders,office_supplies expense from ABC Traders,17748.32,Office Supplies,2024-04-12
T230,Alpha Solutions,TRAVEL expense from Alpha Solutions,44838.91,Stationery,2024-04-12
T231,Bright Office,TRAVEL expense from Bright Office,75758.58,Stationery,2024-04-12
T232,MegaMart,Consultation expense from MegaMart,65098.3,Maintenance,2024-04-13
T233,Prime Supplies,Office Supplies expense from Prime Supplies,64067.25,Maintenance,2024-04-13
T234,Alpha Solutions,Maintenance expense from Alpha Solutions,4575.49,Stationery,2024-04-14
T235,Delta Goods,Insurance expense from Unknown Supplier,57365.3,Insurance,2024-04-15
T236,TechGear Inc.,Marketing expense from TechGear Inc.,55799.97,Consulting,2024-04-15
T237,Prime Supplies,Miscellaneous expense from Prime Supplies,18750.04,Maintenance,2024-04-16
T238,Delta Goods,Miscellaneous expense from Delta Goods,13410.15,Miscellaneous,2024-04-16
T239,ABC Traders,Office Supplies expense from ABC Traders,15390.62,Miscellaneous,2024-04-16
T240,Delta Goods,Office Supplies expense from Unknown Supplier,44464.48,Miscellaneous,2024-04-17
T241,TechGear Inc.,Travel expense from TechGear Inc.,62659.15,Consulting,2024-04-17
T242,Global Services,Marketing expense from Global Services,19502.87,Marketing,2024-04-17
T243,Global Services,TRAVEL expense from Global Services,17736.67,Travel,2024-04-17
T244,Prime Supplies,Travel expense from Prime Supplies,56294.98,Maintenance,2024-04-18
T245,ABC Traders,Travel expense from ABC Traders,67717.12,Travel,2024-04-19
T246,MegaMart,IT Services expense from MegaMart,52233.46,Maintenance,2024-04-20
T247,XYZ Pvt Ltd,TRAVEL expense from XYZ Pvt Ltd,25424.86,Travel,2024-04-20
T248,ABC Traders,Training expense from ABC Traders,37656.44,Training,2024-04-21
T249,Alpha Solutions,Consultation expense from Alpha Solutions,51717.94,Stationery,2024-04-21
T250,ABC Traders,office_supplies expense from ABC Traders,56332.0,Office Supplies,2024-04-22
T251,Delta Goods,Consultation expense from Unknown Supplier,72919.96,Consulting,2024-04-22
T252,ABC Traders,Miscellaneous expense from ABC Traders,18039.16,Miscellaneous,2024-04-23
T253,TechGear Inc.,IT Services expense from TechGear Inc.,27016.96,Consulting,2024-04-23
T254,Delta Goods,Utilities expense from Unknown Supplier,56460.2,Utilities,2024-04-25
T255,Delta Goods,Insurance expense from Delta Goods,78370.31,Insurance,2024-04-25
T256,Alpha Solutions,Maintenance expense from Alpha Solutions,5363.43,Stationery,2024-04-25
T257,Bright Office,Utilities expense from Bright Office,26298.45,Stationery,2024-04-25
T258,ABC Traders,Marketing expense from ABC Traders,73163.8,Marketing,2024-04-26
T259,Delta Goods,Maintenance expense from Unknown Supplier,17452.91,Maintenance,2024-04-26
T260,Bright Office,Travel expense from Bright Office,13494.12,Stationery,2024-04-27
T261,MegaMart,misc expense from MegaMart,18781.42,Maintenance,2024-04-27
T262,Global Services,IT Services expense from Global Services,14039.82,IT Services,2024-04-27
T263,Global Services,Marketing expense from Global Services,54065.76,Marketing,2024-04-28
T264,Delta Goods,Training expense from Unknown Supplier,42072.62,Training,2024-04-29
T265,Delta Goods,office_supplies expense from Delta Goods,64839.56,Office Supplies,2024-04-29
T266,Delta Goods,Utilities expense from Delta Goods,41411.36,Utilities,2024-04-29
T267,Delta Goods,TRAVEL expense from Unknown Supplier,52638.31,Travel,2024-04-30
T268,Delta Goods,Insurance expense from Unknown Supplier,72445.41,Insurance,2024-05-01
T269,Global Services,Marketing expense from Global Services,34220.45,Marketing,2024-05-01
T270,Delta Goods,office_supplies expense from Unknown Supplier,15033.94,Office Supplies,2024-05-01
T271,Bright Office,TRAVEL expense from Bright Office,27005.48,Stationery,2024-05-02
T272,Prime Supplies,Office Supplies expense from Prime Supplies,69980.39,Maintenance,2024-05-02
T273,Global Services,Marketing expense from Global Services,54181.19,Marketing,2024-05-03
T274,XYZ Pvt Ltd,Miscellaneous expense from XYZ Pvt Ltd,62942.4,Miscellaneous,2024-05-03
T275,TechGear Inc.,Insurance expense from TechGear Inc.,26266.23,Consulting,2024-05-04
T276,TechGear Inc.,Marketing expense from TechGear Inc.,48180.09,Consulting,2024-05-04
T277,Delta Goods,Miscellaneous expense from Delta Goods,55573.47,Miscellaneous,2024-05-04
T278,TechGear Inc.,Utilities expense from TechGear Inc.,17526.39,Consulting,2024-05-04
T279,TechGear Inc.,Maintenance expense from TechGear Inc.,56642.18,Consulting,2024-05-05
T280,XYZ Pvt Ltd,misc expense from XYZ Pvt Ltd,72450.8,Miscellaneous,2024-05-06
T281,Global Services,Consulting expense from Global Services,4243.44,Consulting,2024-05-06
T282,Global Services,Miscellaneous expense from Global Services,28534.59,Miscellaneous,2024-05-07
T283,Delta Goods,Insurance expense from Delta Goods,71219.4,Insurance,2024-05-07
T284,ABC Traders,TRAVEL expense from ABC Traders,8617.33,Travel,2024-05-07
T285,Prime Supplies,TRAVEL expense from Prime Supplies,35293.22,Maintenance,2024-05-08
T286,Global Services,Travel expense from Global Services,44014.09,Travel,2024-05-08
T287,Delta Goods,Insurance expense from Unknown Supplier,34120.61,Insurance,2024-05-08
T288,XYZ Pvt Ltd,Marketing expense from XYZ Pvt Ltd,71297.92,Marketing,2024-05-09
T289,TechGear Inc.,Travel expense from TechGear Inc.,76163.72,Consulting,2024-05-09
T290,XYZ Pvt Ltd,office_supplies expense from XYZ Pvt Ltd,6202.88,Office Supplies,2024-05-10
T291,Alpha Solutions,Miscellaneous expense from Alpha Solutions,38920.45,Stationery,2024-05-10
T292,Delta Goods,Travel expense from Unknown Supplier,27210.29,Travel,2024-05-10
T293,Alpha Solutions,Marketing expense from Alpha Solutions,10266.17,Stationery,2024-05-11
T294,XYZ Pvt Ltd,misc expense from XYZ Pvt Ltd,12183.96,Miscellaneous,2024-05-11
T295,Delta Goods,Consulting expense from Delta Goods,65163.57,Consulting,2024-05-11
T296,ABC Traders,Utilities expense from ABC Traders,65904.8,Utilities,2024-05-12
T297,Delta Goods,misc expense from Delta Goods,1183.54,Miscellaneous,2024-05-12
T298,Global Services,Travel expense from Global Services,50342.75,Travel,2024-05-12
T299,MegaMart,Marketing expense from MegaMart,77729.44,Maintenance,2024-05-12
T300,Global Services,misc expense from Global Services,26662.35,Miscellaneous,2024-05-13
T301,XYZ Pvt Ltd,Miscellaneous expense from XYZ Pvt Ltd,672.13,Miscellaneous,2024-05-13
T302,Delta Goods,Miscellaneous expense from Unknown Supplier,59571.15,Miscellaneous,2024-05-13
T303,UrbanStationers,TRAVEL expense from UrbanStationers,57631.64,Travel,2024-05-15
T304,Alpha Solutions,Travel expense from Alpha Solutions,64154.63,Stationery,2024-05-15
T305,ABC Traders,Insurance expense from ABC Traders,13775.79,Insurance,2024-05-15
T306,Prime Supplies,Travel expense from Prime Supplies,62625.89,Maintenance,2024-05-16
T307,Delta Goods,Consulting expense from Delta Goods,43960.48,Consulting,2024-05-17
T308,Bright Office,Travel expense from Bright Office,4753.47,Stationery,2024-05-17
T309,ABC Traders,misc expense from ABC Traders,43072.4,Miscellaneous,2024-05-17
T310,Delta Goods,Miscellaneous expense from Unknown Supplier,73040.52,Miscellaneous,2024-05-18
T311,Delta Goods,Consultation expense from Unknown Supplier,77312.0,Consulting,2024-05-18
T312,XYZ Pvt Ltd,Insurance expense from XYZ Pvt Ltd,1102.18,Insurance,2024-05-18
T313,Delta Goods,Utilities expense from Unknown Supplier,35604.83,Utilities,2024-05-19
T314,UrbanStationers,Insurance expense from UrbanStationers,66045.23,Insurance,2024-05-19
T315,MegaMart,TRAVEL expense from MegaMart,69360.32,Maintenance,2024-05-20
T316,Delta Goods,Consultation expense from Delta Goods,15719.88,Consulting,2024-05-21
T317,UrbanStationers,Office Supplies expense from UrbanStationers,64880.64,Miscellaneous,2024-05-21
T318,Prime Supplies,Utilities expense from Prime Supplies,57523.15,Maintenance,2024-05-21
T319,Global Services,Utilities expense from Global Services,69406.64,Utilities,2024-05-21
T320,Alpha Solutions,Utilities expense from Alpha Solutions,38707.29,Stationery,2024-05-22
T321,Bright Office,Office Supplies expense from Bright Office,48301.9,Stationery,2024-05-22
